year,loudness
1921,-17.04866666666665
1922,-19.275281690140844
1923,-14.129210810810813
1924,-14.231343220338987
1925,-14.146413669064744
1926,-18.492538461538466
1927,-14.422373983739831
1928,-17.191982553528923
1929,-16.53037605042015
1930,-12.869221413721428
1931,-16.51609420289853
1932,-13.364055776892425
1933,-13.06900868306802
1934,-14.756875432525955
1935,-15.41474967061924
1936,-14.612999090909069
1937,-13.11514307458143
1938,-14.290582381729198
1939,-13.900570000000004
1940,-13.684048000000018
1941,-15.755536458333323
1942,-15.029032104637352
1943,-13.602125352112681
1944,-14.58205585106382
1945,-16.9814715
1946,-16.92177436194895
1947,-14.377607878787892
1948,-15.505407368421027
1949,-15.525844999999986
1950,-13.863834499999959
1951,-15.812066000000033
1952,-15.95886600000001
1953,-15.499134871794872
1954,-15.408004500000022
1955,-13.842262000000035
1956,-14.175195500000008
1957,-14.124848717948735
1958,-14.16517100000002
1959,-14.460136923076945
1960,-13.814102702702725
1961,-14.171330526315783
1962,-13.177364210526296
1963,-13.670647000000017
1964,-13.048075897435867
1965,-11.888213333333338
1966,-11.356919500000009
1967,-11.708829414707358
1968,-12.043861999999994
1969,-12.062166000000007
1970,-11.772557999999995
1971,-12.079936000000009
1972,-11.773563499999996
1973,-11.260197000000012
1974,-11.81648900000002
1975,-11.485938999999979
1976,-11.114236999999997
1977,-11.077354499999998
1978,-10.891867999999997
1979,-10.977513500000004
1980,-10.700942051282043
1981,-10.924404499999977
1982,-10.933122500000001
1983,-11.200171000000022
1984,-11.523238499999987
1985,-11.36068849999999
1986,-11.103995000000022
1987,-11.623467179487175
1988,-11.519821025641036
1989,-11.38413000000001
1990,-11.327479499999981
1991,-10.955768717948724
1992,-10.575404499999976
1993,-10.882701000000026
1994,-10.282273000000004
1995,-10.119450000000008
1996,-9.44381849999999
1997,-9.200875500000018
1998,-8.971167999999999
1999,-8.26640953357253
2000,-8.247765848670758
2001,-8.305095261845384
2002,-7.686639500000014
2003,-7.485545035823954
2004,-7.601655137334685
2005,-7.4661589743589705
2006,-7.265500512820515
2007,-7.044535897435891
2008,-6.843804092071616
2009,-7.0460147959183645
2010,-6.9099042658730125
2011,-7.574986117997006
2012,-7.260549614395887
2013,-7.472039473684207
2014,-7.06743990024938
2015,-7.625639311043569
2016,-8.061056204785757
2017,-8.31262951807228
2018,-7.168785068949125
2019,-7.722191893278595
2020,-6.595066995073877
